Fecha,I0,N
17/10/22,3,
18/10/22,9,
19/10/22,2,
20/10/22,3,
21/10/22,6,
22/10/22,5,
23/10/22,5,
24/10/22,2,
25/10/22,5,
26/10/22,5,
27/10/22,10,
28/10/22,7,
29/10/22,11,
30/10/22,3,
31/10/22,4,
01/11/22,19,
02/11/22,13,
03/11/22,16,
04/11/22,13,
05/11/22,14,
06/11/22,17,
07/11/22,18,
08/11/22,17,
09/11/22,33,
10/11/22,30,
11/11/22,8,
12/11/22,24,
13/11/22,20,
14/11/22,25,
15/11/22,53,
16/11/22,62,
17/11/22,45,
18/11/22,53,
19/11/22,66,
20/11/22,74,
21/11/22,63,
22/11/22,71,
23/11/22,101,
24/11/22,138,
25/11/22,138,
26/11/22,98,
27/11/22,103,
28/11/22,96,
29/11/22,106,
30/11/22,138,
01/12/22,131,
02/12/22,86,
03/12/22,77,
04/12/22,104,
05/12/22,79,
06/12/22,86,
07/12/22,90,
08/12/22,73,
09/12/22,76,
10/12/22,78,
11/12/22,81,
12/12/22,56,
13/12/22,66,
14/12/22,82,
15/12/22,39,
16/12/22,53,
17/12/22,47,
18/12/22,47,
19/12/22,40,
20/12/22,38,
21/12/22,36,
22/12/22,42,
23/12/22,31,
24/12/22,35,
25/12/22,30,
26/12/22,29,
27/12/22,23,
28/12/22,29,
29/12/22,60,
30/12/22,28,
31/12/22,23,
01/01/23,25,
02/01/23,35,
03/01/23,20,
04/01/23,24,
05/01/23,32,
06/01/23,19,
07/01/23,21,
08/01/23,10,
09/01/23,15,
10/01/23,11,
11/01/23,20,
12/01/23,10,
13/01/23,11,
14/01/23,11,
15/01/23,16,
16/01/23,8,
17/01/23,20,
18/01/23,18,
19/01/23,13,
20/01/23,6,
21/01/23,16,
22/01/23,12,
23/01/23,10,
24/01/23,10,
25/01/23,11,
26/01/23,9,
27/01/23,11,
28/01/23,9,
29/01/23,13,
30/01/23,10,
31/01/23,7,
01/02/23,9,
02/02/23,6,
03/02/23,7,
04/02/23,4,
05/02/23,7,
06/02/23,7,
07/02/23,3,
08/02/23,8,
09/02/23,4,
10/02/23,6,
11/02/23,4,
12/02/23,7,
13/02/23,1,
14/02/23,5,
15/02/23,8,
16/02/23,1,
17/02/23,6,
18/02/23,4,
19/02/23,2,
20/02/23,2,
21/02/23,4,
22/02/23,3,
23/02/23,5,
24/02/23,3,
25/02/23,1,
26/02/23,6,
27/02/23,6,
28/02/23,6,
01/03/23,3,
02/03/23,5,
03/03/23,6,
04/03/23,3,
05/03/23,3,
06/03/23,3,
07/03/23,0,
08/03/23,0,
09/03/23,1,
10/03/23,0,
11/03/23,0,
12/03/23,0,
13/03/23,0,
14/03/23,2,
15/03/23,1,
16/03/23,2,
17/03/23,1,
18/03/23,2,
19/03/23,3,
